feature,method,f1_full,roc_auc_full,pr_auc_full,f1_without,roc_auc_without,pr_auc_without,delta_f1,delta_roc_auc,delta_pr_auc,rank,corpus,dataset,detector
iat_min_res,lofo,0.9917538213998391,0.9988320822875381,0.9910135815797572,0.7554948466410034,0.9961397430257115,0.967613086399544,0.23625897475883573,0.0026923392618265485,0.023400495180213143,1,hcrl,RPM,isolation_forest
time_since_last_seen_res,lofo,0.9917538213998391,0.9988320822875381,0.9910135815797572,0.9919533293099979,0.9990316587888799,0.9945376712339382,-0.00019950791015876934,-0.00019957650134183602,-0.0035240896541810507,2,hcrl,RPM,isolation_forest
byte_entropy_res,lofo,0.9917538213998391,0.9988320822875381,0.9910135815797572,0.986,0.9990641045466451,0.9930843821145922,0.005753821399839154,-0.00023202225910701202,-0.0020708005348349934,3,hcrl,RPM,isolation_forest
byte_mean_res,lofo,0.9917538213998391,0.9988320822875381,0.9910135815797572,0.9892688797512786,0.9991839217093474,0.9924647287464533,0.0024849416485605014,-0.00035183942180938566,-0.0014511471666961429,4,hcrl,RPM,isolation_forest
dlc_std_res,lofo,0.9917538213998391,0.9988320822875381,0.9910135815797572,0.9923510466988728,0.99921192979442,0.9935544348860879,-0.0005972252990336102,-0.00037984750688191404,-0.0025408533063306926,5,hcrl,RPM,isolation_forest
dlc_mode_res,lofo,0.9917538213998391,0.9988320822875381,0.9910135815797572,0.9923510466988728,0.99921192979442,0.9935544348860879,-0.0005972252990336102,-0.00037984750688191404,-0.0025408533063306926,6,hcrl,RPM,isolation_forest
byte_max_change_res,lofo,0.9917538213998391,0.9988320822875381,0.9910135815797572,0.9944517300514476,0.9992197362113465,0.9942626111000127,-0.0026979086516084605,-0.000387653923808462,-0.0032490295202555197,7,hcrl,RPM,isolation_forest
window_fill_res,lofo,0.9917538213998391,0.9988320822875381,0.9910135815797572,0.9911540008041817,0.9993692242367241,0.9938962797973527,0.000599820595657441,-0.0005371419491860818,-0.0028826982175955695,8,hcrl,RPM,isolation_forest
byte_var_res,lofo,0.9917538213998391,0.9988320822875381,0.9910135815797572,0.9919549477071601,0.9995061442547676,0.9958606747068031,-0.0002011263073209424,-0.0006740619672295223,-0.004847093127045898,9,hcrl,RPM,isolation_forest
byte_nunique_res,lofo,0.9917538213998391,0.9988320822875381,0.9910135815797572,0.9876790543924672,0.9997003977083296,0.9972568868977495,0.004074767007371971,-0.0008683154207915766,-0.0062433053179923315,10,hcrl,RPM,isolation_forest
iat_max_res,lofo,0.9917538213998391,0.9988320822875381,0.9910135815797572,0.9953572870407751,0.9998386133972323,0.9990656834783566,-0.0036034656409359433,-0.0010065311096942864,-0.008052101898599395,11,hcrl,RPM,isolation_forest
iat_median_res,lofo,0.9917538213998391,0.9988320822875381,0.9910135815797572,0.9953572870407751,0.9998820507627862,0.9994031350571255,-0.0036034656409359433,-0.0010499684752481864,-0.008389553477368361,12,hcrl,RPM,isolation_forest
iat_std_res,lofo,0.9917538213998391,0.9988320822875381,0.9910135815797572,0.9906560835928865,0.9999474713439176,0.9997766756291565,0.0010977378069526589,-0.0011153890563795343,-0.008763094049399345,13,hcrl,RPM,isolation_forest
iat_mean_res,lofo,0.9917538213998391,0.9988320822875381,0.9910135815797572,0.9919517102615694,0.9999659130591465,0.9998650936342495,-0.00019788886173022213,-0.0011338307716084461,-0.008851512054492305,14,hcrl,RPM,isolation_forest
iat_min_res,lofo,0.9456729456729457,0.9994354201275767,0.9955142447665495,0.9454046639231825,0.9955886552810106,0.9560553332486885,0.0002682817497632328,0.0038467648465660975,0.03945891151786096,1,hcrl,gear,isolation_forest
iat_median_res,lofo,0.9456729456729457,0.9994354201275767,0.9955142447665495,0.923499689743817,0.9974532657970432,0.9704384342886446,0.022173255929128666,0.001982154330533503,0.02507581047790486,2,hcrl,gear,isolation_forest
iat_std_res,lofo,0.9456729456729457,0.9994354201275767,0.9955142447665495,0.94578037853159,0.9982769652626625,0.981899882199665,-0.00010743285864434071,0.0011584548649141713,0.01361436256688453,3,hcrl,gear,isolation_forest
iat_mean_res,lofo,0.9456729456729457,0.9994354201275767,0.9955142447665495,0.9589700842826712,0.9985948411916421,0.9868329028393925,-0.013297138609725478,0.0008405789359345883,0.008681341927156971,4,hcrl,gear,isolation_forest
iat_max_res,lofo,0.9456729456729457,0.9994354201275767,0.9955142447665495,0.952633504023409,0.9986244996459412,0.9880172733056162,-0.006960558350463275,0.0008109204816354465,0.0074969714609333105,5,hcrl,gear,isolation_forest
time_since_last_seen_res,lofo,0.9456729456729457,0.9994354201275767,0.9955142447665495,0.9434884984604238,0.9992332921038948,0.9940896126308127,0.0021844472125218672,0.0002021280236819134,0.0014246321357367364,6,hcrl,gear,isolation_forest
dlc_mode_res,lofo,0.9456729456729457,0.9994354201275767,0.9955142447665495,0.9474354310658422,0.9992864634734855,0.9934093904816741,-0.0017624853928964734,0.0001489566540912035,0.0021048542848753904,7,hcrl,gear,isolation_forest
dlc_std_res,lofo,0.9456729456729457,0.9994354201275767,0.9955142447665495,0.9474354310658422,0.9992864634734855,0.9934093904816741,-0.0017624853928964734,0.0001489566540912035,0.0021048542848753904,8,hcrl,gear,isolation_forest
window_fill_res,lofo,0.9456729456729457,0.9994354201275767,0.9955142447665495,0.9262091038406829,0.9994673727780256,0.996539611524309,0.019463841832262796,-3.1952650448863196e-05,-0.0010253667577595493,9,hcrl,gear,isolation_forest
