corpus,dataset,capture,attack_type,representation,detector,seed,precision,recall,f1,roc_auc,pr_auc,fpr,train_seconds,score_seconds,runtime_seconds,peak_rss_mb,model_bytes
hcrl,DoS,DoS,DoS,raw,isolation_forest,0,0.0,0.0,0.0,0.8259218833464455,0.45869826007438336,0.0010639489304513383,0.5899506999994628,0.3041582000005292,0.894108899999992,526.37109375,2365487
hcrl,DoS,DoS,DoS,raw,isolation_forest,1,0.0,0.0,0.0,0.8434683637070919,0.4767994178484775,0.001175943554709374,0.5895488000005571,0.29638619999968796,0.885935000000245,529.24609375,2385551
hcrl,DoS,DoS,DoS,raw,isolation_forest,2,0.0,0.0,0.0,0.8600654045534165,0.5201469331089202,0.0008959569940642849,0.6432903000004444,0.33846450000055484,0.9817548000009992,529.37109375,2440463
hcrl,DoS,DoS,DoS,raw,isolation_forest,3,0.0,0.0,0.0,0.8627129620781288,0.5108207148940187,0.0010639489304513383,0.5959236000016972,0.31342860000040673,0.9093522000021039,529.40625,2341199
hcrl,DoS,DoS,DoS,raw,isolation_forest,4,0.0,0.0,0.0,0.8777841865510236,0.5440237900952305,0.0008959569940642849,0.7507715000010649,0.34967170000163605,1.100443200002701,529.43359375,2427439
hcrl,DoS,DoS,DoS,raw,one_class_svm,0,0.3118279569892473,0.00994172094617758,0.019269102990033225,0.9860065270175224,0.8717697335159855,0.0071676559525142795,0.10765820000051463,0.7670794999994541,0.8747376999999688,530.0625,31066
hcrl,DoS,DoS,DoS,raw,one_class_svm,1,0.2885572139303483,0.00994172094617758,0.019221209610604806,0.9850646318788148,0.8661320359020603,0.008007615634449546,0.09932689999914146,0.764623400000346,0.8639502999994875,525.25,30282
hcrl,DoS,DoS,DoS,raw,one_class_svm,2,0.27102803738317754,0.00994172094617758,0.019179894179894182,0.9842103897148007,0.8606018870487846,0.008735580692126777,0.10670050000044284,0.8514519999989716,0.9581524999994144,524.9921875,31066
hcrl,DoS,DoS,DoS,raw,one_class_svm,3,0.31521739130434784,0.00994172094617758,0.01927550681289465,0.9852120255581177,0.8672290314287089,0.007055661328256244,0.12463340000067546,0.8098282999999356,0.934461700000611,525.375,30810
hcrl,DoS,DoS,DoS,raw,one_class_svm,4,0.23481781376518218,0.00994172094617758,0.019075809899687553,0.9854350453639659,0.8686852360851176,0.010583491992384366,0.19250979999924311,0.9288966999993136,1.1214064999985567,525.3984375,30666
hcrl,DoS,DoS,DoS,raw,lof,0,0.0,0.0,0.0,0.9628802706054271,0.7442528334939085,0.004143801097547317,0.10790799999995215,0.3781212999983836,0.4860292999983358,531.1015625,2514956
hcrl,DoS,DoS,DoS,raw,lof,1,0.0,0.0,0.0,0.9536082521724251,0.7064314060677543,0.0037518199126441933,0.12429660000088916,0.3972732000001997,0.5215698000010889,533.6328125,2514956
hcrl,DoS,DoS,DoS,raw,lof,2,0.0,0.0,0.0,0.9565637565200779,0.7173810259231692,0.0038078172247732107,0.13778459999957704,0.36596970000027795,0.503754299999855,532.9140625,2514956
hcrl,DoS,DoS,DoS,raw,lof,3,0.0,0.0,0.0,0.949861212284025,0.6922190084170141,0.004535782282450443,0.10309249999954773,0.3649786000005406,0.46807110000008834,532.98828125,2514956
hcrl,DoS,DoS,DoS,raw,lof,4,0.0,0.0,0.0,0.9446881990185554,0.6767998699745181,0.002967857542837944,0.13570700000127545,0.37988550000045507,0.5155925000017305,530.984375,2514956
hcrl,DoS,DoS,DoS,raw,hbos,0,0.2188679245283019,0.00994172094617758,0.01901951139531071,0.25062287171340214,0.3004832883295875,0.011591443610706686,0.01042770000094606,0.01449779999893508,0.02492549999988114,528.12890625,3855
hcrl,DoS,DoS,DoS,raw,hbos,1,0.2188679245283019,0.00994172094617758,0.01901951139531071,0.25062287171340214,0.3004832883295875,0.011591443610706686,0.009911900000588503,0.010132400000657071,0.020044300001245574,528.28515625,3855
hcrl,DoS,DoS,DoS,raw,hbos,2,0.2188679245283019,0.00994172094617758,0.01901951139531071,0.25062287171340214,0.3004832883295875,0.011591443610706686,0.006675799999356968,0.010736700000052224,0.017412499999409192,528.32421875,3855
hcrl,DoS,DoS,DoS,raw,hbos,3,0.2188679245283019,0.00994172094617758,0.01901951139531071,0.25062287171340214,0.3004832883295875,0.011591443610706686,0.004290900000341935,0.009798599998248392,0.014089499998590327,528.375,3855
hcrl,DoS,DoS,DoS,raw,hbos,4,0.2188679245283019,0.00994172094617758,0.01901951139531071,0.25062287171340214,0.3004832883295875,0.011591443610706686,0.008206200000131503,0.010545000001002336,0.01875120000113384,528.37890625,3855
hcrl,DoS,DoS,DoS,raw,elliptic_envelope,0,0.0,0.0,0.0,0.6581986169566156,0.29636091339282533,0.007335647888901333,0.8682606000002124,0.017868599999928847,0.8861292000001413,536.296875,66831
hcrl,DoS,DoS,DoS,raw,elliptic_envelope,1,0.4461538461538462,0.00994172094617758,0.019450033534540577,0.6264118396708456,0.2770159740490758,0.0040318064732892825,0.7267490000012913,0.008837599998514634,0.7355865999998059,536.54296875,66831
hcrl,DoS,DoS,DoS,raw,elliptic_envelope,2,0.4496124031007752,0.00994172094617758,0.019453295321147073,0.6287773853635965,0.2786918965916095,0.003975809161160264,0.6850524000001315,0.008187900000848458,0.6932403000009799,537.38671875,66831
hcrl,DoS,DoS,DoS,raw,elliptic_envelope,3,0.42962962962962964,0.00994172094617758,0.019433740995141564,0.6291047498352236,0.27868330971906086,0.004311793033934371,0.7564234000001306,0.00900290000026871,0.7654263000003994,536.53125,66831
hcrl,DoS,DoS,DoS,raw,elliptic_envelope,4,0.49572649572649574,0.00994172094617758,0.019492522265165516,0.6169996647840028,0.27321638183920227,0.0033038414156120505,0.7693209999997634,0.008166199999322998,0.7774871999990864,536.38671875,66831
hcrl,DoS,DoS,DoS,raw,autoencoder,0,0.25217391304347825,0.00994172094617758,0.01912928759894459,0.8687092145391213,0.49731702382639636,0.009631537686191063,1.9341499000001932,0.023076099998434074,1.9572259999986272,540.02734375,18610
hcrl,DoS,DoS,DoS,raw,autoencoder,1,0.17682926829268292,0.00994172094617758,0.018825056799740347,0.6649784286528398,0.30813388192919294,0.015119274274834808,2.166892100000041,0.02201260000038019,2.188904700000421,542.078125,18610
hcrl,DoS,DoS,DoS,raw,autoencoder,2,0.0,0.0,0.0,0.7171198065660487,0.33370793705690865,0.008623586067868743,1.7958142999996198,0.016355299998394912,1.8121695999980147,542.890625,18610
hcrl,DoS,DoS,DoS,raw,autoencoder,3,0.19795221843003413,0.00994172094617758,0.018932593438877106,0.9338663297127114,0.6450055980698102,0.013159368350319185,1.8753237000000809,0.012389899999107001,1.8877135999991879,543.61328125,18610
hcrl,DoS,DoS,DoS,raw,autoencoder,4,0.1291759465478842,0.00994172094617758,0.018462517905459178,0.8956078027349649,0.5525506424600455,0.021894949042445964,1.7648628999995708,0.011539499999344116,1.776402399998915,544.3359375,18610
hcrl,DoS,DoS,DoS,residual,isolation_forest,0,0.05576923076923077,0.00994172094617758,0.016875181844631947,0.8936678423734599,0.6304890448608542,0.05498936051069549,0.5544991999995545,0.26505659999929776,0.8195557999988523,544.71484375,1757055
hcrl,DoS,DoS,DoS,residual,isolation_forest,1,0.04654895666131621,0.00994172094617758,0.01638418079096045,0.8915093446786408,0.5816468548738402,0.06652480680927315,0.4895509999987553,0.24585759999899892,0.7354085999977542,545.55078125,1767439
hcrl,DoS,DoS,DoS,residual,isolation_forest,2,0.04067321178120617,0.00994172094617758,0.015977961432506887,0.8713426911490422,0.6036500824072056,0.07660432299249637,0.6608042999996542,0.2613225000004604,0.9221268000001146,543.57421875,1770607
hcrl,DoS,DoS,DoS,residual,isolation_forest,3,0.04104741684359519,0.00994172094617758,0.01600662343038499,0.8558886424051577,0.5216424344992735,0.07587635793481913,0.5697962999984156,0.21143119999942428,0.7812274999978399,544.51171875,1753183
hcrl,DoS,DoS,DoS,residual,isolation_forest,4,0.050522648083623695,0.00994172094617758,0.016614150673159554,0.8790744187576905,0.5361099494197441,0.06103707022062941,0.529187299998739,0.2502813999999489,0.779468699998688,543.5859375,1720975
hcrl,DoS,DoS,DoS,residual,one_class_svm,0,0.04978540772532189,0.00994172094617758,0.016573796256608087,0.7908864364911582,0.39549217166646206,0.061989024526822714,0.07825670000056562,0.8360769000009896,0.9143336000015552,537.6484375,32122
hcrl,DoS,DoS,DoS,residual,one_class_svm,1,0.06345733041575492,0.00994172094617758,0.017190278601066984,0.8220525497052452,0.4302779822408356,0.04793369918243924,0.09756000000015774,0.7851707999998325,0.8827307999999903,536.96875,31866
hcrl,DoS,DoS,DoS,residual,one_class_svm,2,0.0625,0.00994172094617758,0.01715468796214138,0.8343729758085083,0.44588732440354995,0.048717661552245495,0.15401810000003024,0.7443741000006412,0.8983922000006714,537.484375,31994
hcrl,DoS,DoS,DoS,residual,one_class_svm,3,0.06373626373626373,0.00994172094617758,0.01720047449584816,0.8079706750695782,0.4138880731333409,0.04770970993392317,0.08954300000004878,0.7999030999999377,0.8894460999999865,536.96484375,32394
hcrl,DoS,DoS,DoS,residual,one_class_svm,4,0.06415929203539823,0.00994172094617758,0.017215791035915702,0.8303612204810947,0.4406041028094428,0.04737372606114906,0.09508349999850907,0.7891728000013245,0.8842562999998336,536.8359375,31466
hcrl,DoS,DoS,DoS,residual,lof,0,0.0,0.0,0.0,0.8497458505262231,0.46891951653735775,0.017807145257027663,0.5022057000005589,2.890745299999253,3.3929509999998118,543.63671875,2514956
hcrl,DoS,DoS,DoS,residual,lof,1,0.0,0.0,0.0,0.783465669616319,0.390203714091526,0.027214693694702655,0.6239798999995401,2.854983400000492,3.478963300000032,545.63671875,2514956
hcrl,DoS,DoS,DoS,residual,lof,2,0.0,0.0,0.0,0.7868764184817929,0.3936225754133126,0.01663120170231829,0.5264341000001878,2.669556000000739,3.1959901000009268,541.43359375,2514956
hcrl,DoS,DoS,DoS,residual,lof,3,0.0,0.0,0.0,0.8216728641248738,0.43167998728739343,0.02911860230708926,0.549719599999662,2.724130700000387,3.273850300000049,544.0546875,2514956
hcrl,DoS,DoS,DoS,residual,lof,4,0.0,0.0,0.0,0.8015706161428215,0.408780675736111,0.02267891141225221,0.5601120999999694,2.875366299998859,3.4354783999988285,545.046875,2514956
hcrl,DoS,DoS,DoS,residual,hbos,0,0.2529207451847174,0.13729859444634898,0.17798022441950898,0.7559967227846632,0.5119731662585943,0.13248964049725614,0.006318100000498816,0.008418699999310775,0.014736799999809591,540.2109375,3711
hcrl,DoS,DoS,DoS,residual,hbos,1,0.2529207451847174,0.13729859444634898,0.17798022441950898,0.7559967227846632,0.5119731662585943,0.13248964049725614,0.006271800000831718,0.009549399999741581,0.0158212000005733,539.5546875,3711
hcrl,DoS,DoS,DoS,residual,hbos,2,0.2529207451847174,0.13729859444634898,0.17798022441950898,0.7559967227846632,0.5119731662585943,0.13248964049725614,0.006966099999772268,0.010581599999568425,0.017547699999340693,539.59765625,3711
hcrl,DoS,DoS,DoS,residual,hbos,3,0.2529207451847174,0.13729859444634898,0.17798022441950898,0.7559967227846632,0.5119731662585943,0.13248964049725614,0.006740900000295369,0.00980390000040643,0.016544800000701798,539.77734375,3711
hcrl,DoS,DoS,DoS,residual,hbos,4,0.2529207451847174,0.13729859444634898,0.17798022441950898,0.7559967227846632,0.5119731662585943,0.13248964049725614,0.006163899999592104,0.00964650000059919,0.015810400000191294,539.77734375,3711
hcrl,DoS,DoS,DoS,residual,elliptic_envelope,0,0.020131898646303367,0.00994172094617758,0.013310384394721745,0.6776019159719346,0.31011474281208323,0.15808041214021726,0.7306817000007868,0.008681899998919107,0.7393635999997059,542.49609375,66831
hcrl,DoS,DoS,DoS,residual,elliptic_envelope,1,0.020379479971890373,0.00994172094617758,0.013364055299539171,0.6766380979911113,0.30952095721984,0.15612050621570164,0.7913214000000153,0.012107999998988817,0.8034293999990041,542.37109375,66831
hcrl,DoS,DoS,DoS,residual,elliptic_envelope,2,0.019489247311827957,0.00994172094617758,0.013166855845629967,0.6759215934734892,0.3092500188852012,0.16340015679247397,0.7767368999993778,0.011943699999392265,0.78868059999877,542.33984375,66831
hcrl,DoS,DoS,DoS,residual,elliptic_envelope,3,0.019938123066345823,0.00994172094617758,0.013267757062793093,0.6757535439464487,0.3088778841732107,0.15964833687982977,0.7374922999988485,0.015381100000013248,0.7528733999988617,542.3671875,66831
hcrl,DoS,DoS,DoS,residual,elliptic_envelope,4,0.019687712152070606,0.00994172094617758,0.013211845102505696,0.6767890142987225,0.30987531949160724,0.16172023742860342,0.8311176000006526,0.019977199999630102,0.8510948000002827,542.33984375,66831
hcrl,DoS,DoS,DoS,residual,autoencoder,0,0.05466540999057493,0.00994172094617758,0.016823785351704135,0.6209129688891833,0.27744553181910675,0.05616530406540486,2.0053086999996594,0.012448699999367818,2.0177573999990273,541.328125,18610
hcrl,DoS,DoS,DoS,residual,autoencoder,1,0.0774365821094793,0.00994172094617758,0.01762114537444934,0.783807690909273,0.38923495807878594,0.0386941426811513,1.8473964000004344,0.012666400001762668,1.860062800002197,543.17578125,18610
hcrl,DoS,DoS,DoS,residual,autoencoder,2,0.04482225656877898,0.00994172094617758,0.01627384960718294,0.8150991213854715,0.42241674548997526,0.069212677791466,2.0251459999999497,0.015067600001202663,2.0402136000011524,543.5546875,18610
hcrl,DoS,DoS,DoS,residual,autoencoder,3,0.034544371649791544,0.00994172094617758,0.015439904166112073,0.8055187817902806,0.41168031976099634,0.09077164296113786,2.020862599998509,0.015427099999214988,2.036289699997724,543.5546875,18610
hcrl,DoS,DoS,DoS,residual,autoencoder,4,0.03835978835978836,0.00994172094617758,0.015790906615845358,0.802523962223142,0.4083619045255734,0.08142009183559189,2.1895229000001564,0.017921999999089167,2.2074448999992455,543.5546875,18610
hcrl,Fuzzy,Fuzzy,Fuzzy,raw,isolation_forest,0,0.3458646616541353,0.10648148148148148,0.16283185840707964,0.8668615745752454,0.2909264464063234,0.013454301768132377,0.4804316999998264,0.204891299999872,0.6853229999996984,543.74609375,2117327
