experiment,dataset,representation,detector,seed,precision,recall,f1,roc_auc,pr_auc,fpr,threshold,n_train_normals,train_seconds,score_seconds,runtime_seconds,peak_rss_mb,model_bytes,tp,fp,fn,tn,precision_point,precision_ci_low,precision_ci_high,precision_mean,precision_std,recall_point,recall_ci_low,recall_ci_high,recall_mean,recall_std,f1_point,f1_ci_low,f1_ci_high,f1_mean,f1_std,roc_auc_point,roc_auc_ci_low,roc_auc_ci_high,roc_auc_mean,roc_auc_std,pr_auc_point,pr_auc_ci_low,pr_auc_ci_high,pr_auc_mean,pr_auc_std,fpr_point,fpr_ci_low,fpr_ci_high,fpr_mean,fpr_std
baseline,DoS,residual,isolation_forest,0,0.05576923076923077,0.00994172094617758,0.016875181844631947,0.8936678423734599,0.6304890448608542,0.05498936051069549,0.5009767672276519,8064,0.27250150000008944,0.15932119999979477,0.4318226999998842,334.25390625,1757055,58,982,5776,16876,0.05576923076923077,0.0,0.12464370895964978,0.056540948892945746,0.03067605180855805,0.00994172094617758,0.0,0.024124307299531255,0.010293071020954926,0.005973223970647018,0.016875181844631947,0.0,0.03984493875730668,0.017404277563767896,0.009985348945196777,0.8936678423734599,0.8824891147793712,0.9030654381041537,0.89371884612599,0.005243291539787202,0.6304890448608542,0.6068606603635961,0.6568165593747386,0.631428713835826,0.013065346119317407,0.05498936051069549,0.04991773475285571,0.06148163161463027,0.05506661848431715,0.003070137614870962
baseline,DoS,residual,one_class_svm,0,0.04978540772532189,0.00994172094617758,0.016573796256608087,0.7908864364911582,0.39549217166646206,0.061989024526822714,0.021122892372118975,8064,0.040016799999648356,0.34073469999975714,0.3807514999994055,331.58984375,32122,58,1107,5776,16751,0.04978540772532189,0.0,0.1095407310081223,0.05084119362929521,0.027862827004009137,0.00994172094617758,0.0,0.024124307299531255,0.010293071020954926,0.005973223970647018,0.016573796256608087,0.0,0.039528532653789326,0.01710493708947382,0.009812410790667643,0.7908864364911582,0.7819981076772025,0.7987816166271008,0.7912157767999498,0.004312146186248161,0.39549217166646206,0.37102360273771434,0.42376302904977337,0.3961011096517595,0.01415015532955071,0.061989024526822714,0.05597788003400576,0.0682118441212656,0.06176742940521266,0.003099186264709561
baseline,DoS,residual,lof,0,0.0,0.0,0.0,0.8497458505262231,0.46891951653735775,0.017807145257027663,28.953906337907537,8064,0.29006410000010874,1.1890075000001161,1.4790716000002249,336.10546875,2514956,0,318,5834,17540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8497458505262231,0.8409577487805412,0.8591704690392108,0.8502233880186151,0.004414786266009038,0.46891951653735775,0.440323391385886,0.4989725361738587,0.4697816972026006,0.01529141775688276,0.017807145257027663,0.015002270465735467,0.020108762524702433,0.017583650726283952,0.0013524908083635905
baseline,DoS,residual,hbos,0,0.2529207451847174,0.13729859444634898,0.17798022441950898,0.7559967227846632,0.5119731662585943,0.13248964049725614,13.45311044436789,8064,0.0025935000003300956,0.0060364999999364954,0.008630000000266591,335.12109375,3711,801,2366,5033,15492,0.2529207451847174,0.19264807825561195,0.3263500994698617,0.2543571452281431,0.034661133754042,0.13729859444634898,0.0995642249186105,0.1831760581329795,0.138181797798631,0.021834491148579094,0.17798022441950898,0.1320755842053608,0.23441053919509752,0.17899405625650883,0.026704748563361237,0.7559967227846632,0.7229850165799392,0.7860073067846283,0.7567480351538345,0.016253524109416922,0.5119731662585943,0.4930368386173823,0.5355440982911801,0.5136517530402128,0.011157426536690194,0.13248964049725614,0.1154136355357643,0.1524181114022396,0.13210825805865362,0.009372020142892767
baseline,DoS,residual,elliptic_envelope,0,0.020131898646303367,0.00994172094617758,0.013310384394721745,0.6776019159719346,0.31011474281208323,0.15808041214021726,2954.0221174616518,8064,0.22990630000003875,0.0035625000000436557,0.2334688000000824,335.58203125,66831,58,2823,5776,15035,0.020131898646303367,0.0,0.04736191829310861,0.020860491475815746,0.011938671994590916,0.00994172094617758,0.0,0.024124307299531255,0.010293071020954926,0.005973223970647018,0.013310384394721745,0.0,0.031707295781115245,0.01377424434666,0.007944581342007751,0.6776019159719346,0.6432732146001658,0.7116382373713276,0.6783965018081634,0.016792495665377688,0.31011474281208323,0.2948444111891051,0.32819336924959436,0.3115469646003087,0.008870871775085252,0.15808041214021726,0.1416815655578356,0.17985719523447588,0.15746381971867157,0.009937980195778727
baseline,DoS,residual,autoencoder,0,0.05466540999057493,0.00994172094617758,0.016823785351704135,0.6209129688891833,0.27744553181910675,0.05616530406540486,0.3923990753764999,8064,0.6009499000001597,0.007512000000133412,0.6084619000002931,336.8828125,18610,58,1003,5776,16855,0.05466540999057493,0.0,0.12031810520846169,0.0559100999123791,0.030477859486046775,0.00994172094617758,0.0,0.024124307299531255,0.010293071020954926,0.005973223970647018,0.016823785351704135,0.0,0.04020100314136859,0.01736783504700209,0.00996134437233358,0.6209129688891833,0.6057973991146856,0.6361071814238091,0.6215455794059236,0.00784706026769182,0.27744553181910675,0.25834382925753135,0.29816950515785684,0.27808765126012275,0.010578607659315235,0.05616530406540486,0.05067364456734786,0.061165125032039504,0.05574033057133393,0.0027543683777589306
baseline,Fuzzy,residual,isolation_forest,0,0.31183854294856017,0.9776234567901234,0.47284941220376936,0.972770726377012,0.7592283393158402,0.1441311407804526,0.39518344917040255,7884,0.22817680000025575,0.1372153000002072,0.36539210000046296,340.50390625,1247359,1267,2796,29,16603,0.31183854294856017,0.27996590303676083,0.3514742868790783,0.3137165984179299,0.019295829557531365,0.9776234567901234,0.9657755659217473,0.9871142109851787,0.9773307075002934,0.005749808752201254,0.47284941220376936,0.4357618162152451,0.5164998790114999,0.47462110659811485,0.021860207013670974,0.972770726377012,0.9670119244478006,0.9789961240723329,0.9731464420972383,0.003274772850667657,0.7592283393158402,0.726246713991281,0.801619782406149,0.7625387893774003,0.020132591137077393,0.1441311407804526,0.11973331851653977,0.16828324192076033,0.1429294997670182,0.013040410050369626
baseline,Fuzzy,residual,one_class_svm,0,0.4170096021947874,0.7037037037037037,0.5236864771748493,0.8015631692227995,0.6184330131237864,0.06572503737306047,-0.37873292195404834,7884,0.043359700000110024,0.27482599999984814,0.31818569999995816,339.3125,30010,912,1275,384,18124,0.4170096021947874,0.373863765194603,0.47448914329786396,0.41858554956053096,0.02431667868321734,0.7037037037037037,0.6712405285579196,0.7408050065300582,0.7041140548009491,0.01823117686082573,0.5236864771748493,0.4870086080640193,0.5622908680669223,0.5244858075662461,0.018851508471034503,0.8015631692227995,0.7745690141070061,0.8304348612137383,0.8020982280203299,0.014196312716388115,0.6184330131237864,0.5885080884203481,0.6504199025292964,0.6193817265381055,0.015767449301285524,0.06572503737306047,0.05528921309670331,0.07540720871743643,0.06523435441324804,0.0049435707429194235
baseline,Fuzzy,residual,lof,0,0.6040992448759439,0.43209876543209874,0.5038236617183987,0.8385513619449647,0.5548798633585252,0.018918500953657404,116.66059972340209,7884,0.19466700000020865,0.9121347999998761,1.1068018000000848,345.1328125,2514956,560,367,736,19032,0.6040992448759439,0.5398967238324432,0.6591657358869548,0.6013553521776397,0.029974399587151118,0.43209876543209874,0.3895539667759606,0.4709427964640822,0.4304976675605242,0.02095543016450538,0.5038236617183987,0.45795520945106083,0.5389582029891368,0.5014480309990605,0.021026505273992503,0.8385513619449647,0.817013668026078,0.8563040910366132,0.8382367774832409,0.009898332983742413,0.5548798633585252,0.5128756715564681,0.5923553943308211,0.5536006976764087,0.020648103461712978,0.018918500953657404,0.016371140099693704,0.021754960307950696,0.018968260745227096,0.0013624441068197889
baseline,Fuzzy,residual,hbos,0,0.2861325525685387,0.8294753086419753,0.4254898080348308,0.911919420881438,0.5566752385166889,0.1382545492035672,4.6157794304751985,7884,0.0022190999998201733,0.0038091999999778636,0.006028299999798037,344.23046875,3711,1075,2682,221,16717,0.2861325525685387,0.25440693953739074,0.3271413875323151,0.28783197711712005,0.017798928262102866,0.8294753086419753,0.7884193276691505,0.8635627171864426,0.8295489725833503,0.018857488863997227,0.4254898080348308,0.3919151559700441,0.4677320990525884,0.4269352205307468,0.018677021612901565,0.911919420881438,0.8986207536841694,0.9247212074319459,0.912317665208781,0.006780055124193841,0.5566752385166889,0.5222026880630549,0.6003010749737137,0.5593833183936908,0.019354061745350894,0.1382545492035672,0.11218078685097077,0.16210386726651604,0.13719225920907618,0.012472584536647327
