feature,method,metric,baseline,importance_mean,importance_std,rank,corpus,dataset,detector
iat_min_res,permutation,roc_auc,0.9988320822875381,0.005985664654425138,0.0002043052429113637,1,hcrl,RPM,isolation_forest
byte_mean_res,permutation,roc_auc,0.9988320822875381,0.0040167956085914724,0.00014865782044276712,2,hcrl,RPM,isolation_forest
byte_max_change_res,permutation,roc_auc,0.9988320822875381,0.002717684743283444,0.00011412819201000707,3,hcrl,RPM,isolation_forest
byte_var_res,permutation,roc_auc,0.9988320822875381,0.0010760524890949252,0.00015575660256480266,4,hcrl,RPM,isolation_forest
byte_entropy_res,permutation,roc_auc,0.9988320822875381,0.0010636270055554675,6.932292398391261e-05,5,hcrl,RPM,isolation_forest
byte_nunique_res,permutation,roc_auc,0.9988320822875381,0.000187759983106206,3.5689070692713114e-05,6,hcrl,RPM,isolation_forest
iat_max_res,permutation,roc_auc,0.9988320822875381,7.084296367700915e-05,5.0584563903663316e-05,7,hcrl,RPM,isolation_forest
iat_median_res,permutation,roc_auc,0.9988320822875381,2.9778835246796476e-05,6.540826069098446e-05,8,hcrl,RPM,isolation_forest
dlc_mode_res,permutation,roc_auc,0.9988320822875381,0.0,0.0,9,hcrl,RPM,isolation_forest
dlc_std_res,permutation,roc_auc,0.9988320822875381,0.0,0.0,10,hcrl,RPM,isolation_forest
window_fill_res,permutation,roc_auc,0.9988320822875381,0.0,0.0,11,hcrl,RPM,isolation_forest
iat_std_res,permutation,roc_auc,0.9988320822875381,-0.000237131521195022,6.730535821039904e-05,12,hcrl,RPM,isolation_forest
iat_mean_res,permutation,roc_auc,0.9988320822875381,-0.0004931323290026102,4.576604494344471e-05,13,hcrl,RPM,isolation_forest
time_since_last_seen_res,permutation,roc_auc,0.9988320822875381,-0.0006795880034439206,9.096236722228999e-05,14,hcrl,RPM,isolation_forest
iat_min_res,permutation,roc_auc,0.9994354201275767,0.0034563341857743344,0.00015437198509358544,1,hcrl,gear,isolation_forest
iat_median_res,permutation,roc_auc,0.9994354201275767,0.0018671102555478658,0.00014095333980703256,2,hcrl,gear,isolation_forest
iat_max_res,permutation,roc_auc,0.9994354201275767,0.001066450332620672,9.876429882371042e-05,3,hcrl,gear,isolation_forest
iat_std_res,permutation,roc_auc,0.9994354201275767,0.0007658192843838618,3.02309285534117e-05,4,hcrl,gear,isolation_forest
iat_mean_res,permutation,roc_auc,0.9994354201275767,0.0002377763023178714,1.896837125959194e-05,5,hcrl,gear,isolation_forest
time_since_last_seen_res,permutation,roc_auc,0.9994354201275767,0.00023672989973007043,3.259740200019283e-05,6,hcrl,gear,isolation_forest
byte_entropy_res,permutation,roc_auc,0.9994354201275767,0.0002154634280894463,5.427805042750227e-05,7,hcrl,gear,isolation_forest
byte_mean_res,permutation,roc_auc,0.9994354201275767,6.197028658891935e-05,3.669381662164981e-05,8,hcrl,gear,isolation_forest
dlc_mode_res,permutation,roc_auc,0.9994354201275767,0.0,0.0,9,hcrl,gear,isolation_forest
dlc_std_res,permutation,roc_auc,0.9994354201275767,0.0,0.0,10,hcrl,gear,isolation_forest
window_fill_res,permutation,roc_auc,0.9994354201275767,0.0,0.0,11,hcrl,gear,isolation_forest
byte_nunique_res,permutation,roc_auc,0.9994354201275767,-1.212705856210583e-05,2.778133552819224e-05,12,hcrl,gear,isolation_forest
byte_max_change_res,permutation,roc_auc,0.9994354201275767,-0.00017206055884722016,1.9964894549821808e-05,13,hcrl,gear,isolation_forest
byte_var_res,permutation,roc_auc,0.9994354201275767,-0.00029824134708877903,8.423367905814909e-06,14,hcrl,gear,isolation_forest
iat_median_res,permutation,roc_auc,0.9665201242405748,0.04468073660708969,0.0005624379169776619,1,road,correlated_signal_attack_1,isolation_forest
