experiment,dataset,representation,detector,seed,precision,recall,f1,roc_auc,pr_auc,fpr,threshold,n_train_normals,train_seconds,score_seconds,runtime_seconds,peak_rss_mb,model_bytes,tp,fp,fn,tn,precision_point,precision_ci_low,precision_ci_high,precision_mean,precision_std,recall_point,recall_ci_low,recall_ci_high,recall_mean,recall_std,f1_point,f1_ci_low,f1_ci_high,f1_mean,f1_std,roc_auc_point,roc_auc_ci_low,roc_auc_ci_high,roc_auc_mean,roc_auc_std,pr_auc_point,pr_auc_ci_low,pr_auc_ci_high,pr_auc_mean,pr_auc_std,fpr_point,fpr_ci_low,fpr_ci_high,fpr_mean,fpr_std,protocol_version,phase
baseline,DoS,residual,isolation_forest,0,0.0557692307692307,0.0099417209461775,0.0168751818446319,0.8936678423734599,0.6304890448608542,0.0549893605106954,0.5009767672276519,8064,0.2725015000000894,0.1593211999997947,0.4318226999998842,334.25390625,1757055,58,982,5776,16876,0.0557692307692307,0.0,0.1246437089596497,0.0565409488929457,0.030676051808558,0.0099417209461775,0.0,0.0241243072995312,0.0102930710209549,0.005973223970647,0.0168751818446319,0.0,0.0398449387573066,0.0174042775637678,0.0099853489451967,0.8936678423734599,0.8824891147793712,0.9030654381041536,0.89371884612599,0.0052432915397872,0.6304890448608542,0.6068606603635961,0.6568165593747386,0.631428713835826,0.0130653461193174,0.0549893605106954,0.0499177347528557,0.0614816316146302,0.0550666184843171,0.0030701376148709,hcrl_temporal_v1,A
baseline,DoS,residual,one_class_svm,0,0.0497854077253218,0.0099417209461775,0.016573796256608,0.7908864364911582,0.395492171666462,0.0619890245268227,0.0211228923721189,8064,0.0400167999996483,0.3407346999997571,0.3807514999994055,331.58984375,32122,58,1107,5776,16751,0.0497854077253218,0.0,0.1095407310081223,0.0508411936292952,0.0278628270040091,0.0099417209461775,0.0,0.0241243072995312,0.0102930710209549,0.005973223970647,0.016573796256608,0.0,0.0395285326537893,0.0171049370894738,0.0098124107906676,0.7908864364911582,0.7819981076772025,0.7987816166271008,0.7912157767999498,0.0043121461862481,0.395492171666462,0.3710236027377143,0.4237630290497733,0.3961011096517595,0.0141501553295507,0.0619890245268227,0.0559778800340057,0.0682118441212656,0.0617674294052126,0.0030991862647095,hcrl_temporal_v1,A
baseline,DoS,residual,lof,0,0.0,0.0,0.0,0.8497458505262231,0.4689195165373577,0.0178071452570276,28.953906337907537,8064,0.2900641000001087,1.189007500000116,1.4790716000002249,336.10546875,2514956,0,318,5834,17540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8497458505262231,0.8409577487805412,0.8591704690392108,0.8502233880186151,0.004414786266009,0.4689195165373577,0.440323391385886,0.4989725361738587,0.4697816972026006,0.0152914177568827,0.0178071452570276,0.0150022704657354,0.0201087625247024,0.0175836507262839,0.0013524908083635,hcrl_temporal_v1,A
baseline,DoS,residual,hbos,0,0.2529207451847174,0.1372985944463489,0.1779802244195089,0.7559967227846632,0.5119731662585943,0.1324896404972561,13.45311044436789,8064,0.00259350000033,0.0060364999999364,0.0086300000002665,335.12109375,3711,801,2366,5033,15492,0.2529207451847174,0.1926480782556119,0.3263500994698617,0.2543571452281431,0.034661133754042,0.1372985944463489,0.0995642249186105,0.1831760581329795,0.138181797798631,0.021834491148579,0.1779802244195089,0.1320755842053608,0.2344105391950975,0.1789940562565088,0.0267047485633612,0.7559967227846632,0.7229850165799392,0.7860073067846283,0.7567480351538345,0.0162535241094169,0.5119731662585943,0.4930368386173823,0.5355440982911801,0.5136517530402128,0.0111574265366901,0.1324896404972561,0.1154136355357643,0.1524181114022396,0.1321082580586536,0.0093720201428927,hcrl_temporal_v1,A
baseline,DoS,residual,elliptic_envelope,0,0.0201318986463033,0.0099417209461775,0.0133103843947217,0.6776019159719346,0.3101147428120832,0.1580804121402172,2954.022117461652,8064,0.2299063000000387,0.0035625000000436,0.2334688000000824,335.58203125,66831,58,2823,5776,15035,0.0201318986463033,0.0,0.0473619182931086,0.0208604914758157,0.0119386719945909,0.0099417209461775,0.0,0.0241243072995312,0.0102930710209549,0.005973223970647,0.0133103843947217,0.0,0.0317072957811152,0.01377424434666,0.0079445813420077,0.6776019159719346,0.6432732146001658,0.7116382373713276,0.6783965018081634,0.0167924956653776,0.3101147428120832,0.2948444111891051,0.3281933692495943,0.3115469646003087,0.0088708717750852,0.1580804121402172,0.1416815655578356,0.1798571952344758,0.1574638197186715,0.0099379801957787,hcrl_temporal_v1,A
baseline,DoS,residual,autoencoder,0,0.0546654099905749,0.0099417209461775,0.0168237853517041,0.6209129688891833,0.2774455318191067,0.0561653040654048,0.3923990753764999,8064,0.6009499000001597,0.0075120000001334,0.6084619000002931,336.8828125,18610,58,1003,5776,16855,0.0546654099905749,0.0,0.1203181052084616,0.0559100999123791,0.0304778594860467,0.0099417209461775,0.0,0.0241243072995312,0.0102930710209549,0.005973223970647,0.0168237853517041,0.0,0.0402010031413685,0.017367835047002,0.0099613443723335,0.6209129688891833,0.6057973991146856,0.6361071814238091,0.6215455794059236,0.0078470602676918,0.2774455318191067,0.2583438292575313,0.2981695051578568,0.2780876512601227,0.0105786076593152,0.0561653040654048,0.0506736445673478,0.0611651250320395,0.0557403305713339,0.0027543683777589,hcrl_temporal_v1,A
baseline,Fuzzy,residual,isolation_forest,0,0.3118385429485601,0.9776234567901234,0.4728494122037693,0.972770726377012,0.7592283393158402,0.1441311407804526,0.3951834491704025,7884,0.2281768000002557,0.1372153000002072,0.3653921000004629,340.50390625,1247359,1267,2796,29,16603,0.3118385429485601,0.2799659030367608,0.3514742868790783,0.3137165984179299,0.0192958295575313,0.9776234567901234,0.9657755659217472,0.9871142109851788,0.9773307075002934,0.0057498087522012,0.4728494122037693,0.4357618162152451,0.5164998790114999,0.4746211065981148,0.0218602070136709,0.972770726377012,0.9670119244478006,0.9789961240723328,0.9731464420972384,0.0032747728506676,0.7592283393158402,0.726246713991281,0.801619782406149,0.7625387893774003,0.0201325911370773,0.1441311407804526,0.1197333185165397,0.1682832419207603,0.1429294997670182,0.0130404100503696,hcrl_temporal_v1,A
baseline,Fuzzy,residual,one_class_svm,0,0.4170096021947874,0.7037037037037037,0.5236864771748493,0.8015631692227995,0.6184330131237864,0.0657250373730604,-0.3787329219540483,7884,0.04335970000011,0.2748259999998481,0.3181856999999581,339.3125,30010,912,1275,384,18124,0.4170096021947874,0.373863765194603,0.4744891432978639,0.4185855495605309,0.0243166786832173,0.7037037037037037,0.6712405285579196,0.7408050065300582,0.7041140548009491,0.0182311768608257,0.5236864771748493,0.4870086080640193,0.5622908680669223,0.5244858075662461,0.0188515084710345,0.8015631692227995,0.7745690141070061,0.8304348612137383,0.8020982280203299,0.0141963127163881,0.6184330131237864,0.5885080884203481,0.6504199025292964,0.6193817265381055,0.0157674493012855,0.0657250373730604,0.0552892130967033,0.0754072087174364,0.065234354413248,0.0049435707429194,hcrl_temporal_v1,A
baseline,Fuzzy,residual,lof,0,0.6040992448759439,0.4320987654320987,0.5038236617183987,0.8385513619449647,0.5548798633585252,0.0189185009536574,116.66059972340209,7884,0.1946670000002086,0.912134799999876,1.1068018000000848,345.1328125,2514956,560,367,736,19032,0.6040992448759439,0.5398967238324432,0.6591657358869548,0.6013553521776397,0.0299743995871511,0.4320987654320987,0.3895539667759606,0.4709427964640822,0.4304976675605242,0.0209554301645053,0.5038236617183987,0.4579552094510608,0.5389582029891368,0.5014480309990605,0.0210265052739925,0.8385513619449647,0.817013668026078,0.8563040910366132,0.8382367774832409,0.0098983329837424,0.5548798633585252,0.5128756715564681,0.5923553943308211,0.5536006976764087,0.0206481034617129,0.0189185009536574,0.0163711400996937,0.0217549603079506,0.018968260745227,0.0013624441068197,hcrl_temporal_v1,A
baseline,Fuzzy,residual,hbos,0,0.2861325525685387,0.8294753086419753,0.4254898080348308,0.911919420881438,0.5566752385166889,0.1382545492035672,4.615779430475199,7884,0.0022190999998201,0.0038091999999778,0.006028299999798,344.23046875,3711,1075,2682,221,16717,0.2861325525685387,0.2544069395373907,0.3271413875323151,0.28783197711712,0.0177989282621028,0.8294753086419753,0.7884193276691505,0.8635627171864426,0.8295489725833503,0.0188574888639972,0.4254898080348308,0.3919151559700441,0.4677320990525884,0.4269352205307468,0.0186770216129015,0.911919420881438,0.8986207536841694,0.924721207431946,0.912317665208781,0.0067800551241938,0.5566752385166889,0.5222026880630549,0.6003010749737137,0.5593833183936908,0.0193540617453508,0.1382545492035672,0.1121807868509707,0.162103867266516,0.1371922592090761,0.0124725845366473,hcrl_temporal_v1,A
