corpus,dataset,capture,attack_type,representation,detector,n_seeds,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,fpr_mean,fpr_std,fpr_ci95_low,fpr_ci95_high,protocol_version,phase
hcrl,DoS,DoS,DoS,raw,autoencoder,5,0.1512262692628159,0.0953740739361995,0.0676272075187421,0.2348253310068897,0.007953376756942,0.0044460727697973,0.0040562221460404,0.0118505313678436,0.0150698911486042,0.0084278107052468,0.0076825893543387,0.0224571929428697,0.8160563164411372,0.1178907619806988,0.7127205074195658,0.9193921254627084,0.4673430166684706,0.1439866803870639,0.3411331266300664,0.5935529067068749,0.0136857430843319,0.0052864250578043,0.009051987215746,0.0183194989529178,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,raw,elliptic_envelope,5,0.3642244749221494,0.2050814496848209,0.1844626584537201,0.5439862913905786,0.007953376756942,0.0044460727697973,0.0040562221460404,0.0118505313678436,0.0155659184231989,0.0087016397144778,0.0079385949196234,0.0231932419267744,0.6318984513220569,0.0155025907579792,0.6183098313912739,0.6454870712528399,0.2807936951183548,0.0089846594453168,0.2729182938827844,0.2886690963539251,0.0045917795945794,0.0015778925751601,0.0032086957713533,0.0059748634178056,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,raw,hbos,5,0.2188679245283019,0.0,0.2188679245283019,0.2188679245283019,0.0099417209461775,0.0,0.0099417209461775,0.0099417209461775,0.0190195113953107,0.0,0.0190195113953107,0.0190195113953107,0.2506228717134021,0.0,0.2506228717134021,0.2506228717134021,0.3004832883295875,0.0,0.3004832883295875,0.3004832883295875,0.0115914436107066,0.0,0.0115914436107066,0.0115914436107066,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,raw,isolation_forest,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8539905600472213,0.0198600599364565,0.8365824499776076,0.871398670116835,0.502097823204206,0.034216871938176,0.4721054125647887,0.5320902338436233,0.0010191510807481,0.0001213992798111,0.0009127399202538,0.0011255622412424,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,raw,lof,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.953520338120102,0.006860654917008,0.9475067089403796,0.9595339672998244,0.7074168287752729,0.0256199113786279,0.684959986314581,0.7298736712359648,0.0038414156120506,0.0005800521519802,0.00333297748346,0.0043498537406411,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,raw,one_class_svm,5,0.2842896826744606,0.0330016233902222,0.2553624843532541,0.3132168809956672,0.0099417209461775,0.0,0.0099417209461775,0.0099417209461775,0.0192043046986228,8.164116987406074e-05,0.0191327430580272,0.0192758663392184,0.9851857239066444,0.0006524014825553,0.9846138687937072,0.9857575790195816,0.8668835847961314,0.0041007402497841,0.8632891274851494,0.8704780421071133,0.0083100011199462,0.0014421890042334,0.0070458667211976,0.0095741355186948,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,residual,autoencoder,5,0.0499656817356826,0.017144286229545,0.0349380522771719,0.0649933111941933,0.0099417209461775,0.0,0.0099417209461775,0.0099417209461775,0.0163899182230587,0.0008629853013238,0.0156334782545001,0.0171463581916173,0.7655725050394702,0.0816592069883357,0.6939950542161295,0.8371499558628108,0.3818278919348875,0.0595676464962161,0.3296145476594027,0.4340412362103724,0.0672527718669503,0.0205925880300055,0.0492025726131959,0.0853029711207048,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,residual,elliptic_envelope,5,0.0199252922296876,0.0003520357973967,0.0196167192480785,0.0202338652112966,0.0099417209461775,0.0,0.0099417209461775,0.0099417209461775,0.0132641795410379,7.799623299620899e-05,0.0131958128284823,0.0133325462535935,0.6765408331363413,0.0007416591457495,0.6758907402320573,0.6771909260406253,0.3095277845163885,0.0004911393421919,0.3090972819018068,0.3099582871309702,0.1597939298913652,0.0028795362083039,0.1572699051188328,0.1623179546638975,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,residual,hbos,5,0.2529207451847174,0.0,0.2529207451847174,0.2529207451847174,0.1372985944463489,0.0,0.1372985944463489,0.1372985944463489,0.1779802244195089,0.0,0.1779802244195089,0.1779802244195089,0.7559967227846632,0.0,0.7559967227846632,0.7559967227846632,0.5119731662585943,0.0,0.5119731662585943,0.5119731662585943,0.1324896404972561,0.0,0.1324896404972561,0.1324896404972561,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,residual,isolation_forest,5,0.0469122928277944,0.0064213497521462,0.041283731602979,0.0525408540526097,0.0099417209461775,0.0,0.0099417209461775,0.0099417209461775,0.0163716196343287,0.000387538061309,0.0160319275463382,0.0167113117223193,0.8782965878727982,0.0155074992176798,0.8647036654873895,0.8918895102582068,0.5747076732121835,0.045560620487347,0.5347720285655267,0.6146433178588403,0.0670063836935827,0.0093684356703475,0.0587945877649042,0.0752181796222612,hcrl_temporal_v1,C
