feature,method,f1_full,roc_auc_full,pr_auc_full,f1_without,roc_auc_without,pr_auc_without,delta_f1,delta_roc_auc,delta_pr_auc,rank,corpus,dataset,detector,protocol_version,phase
iat_min_res,lofo,0.9917538213998393,0.998832082287538,0.9910135815797572,0.7554948466410034,0.9961397430257116,0.967613086399544,0.2362589747588357,0.0026923392618265,0.0234004951802131,1,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
time_since_last_seen_res,lofo,0.9917538213998393,0.998832082287538,0.9910135815797572,0.991953329309998,0.99903165878888,0.9945376712339382,-0.0001995079101587,-0.0001995765013418,-0.003524089654181,2,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
byte_entropy_res,lofo,0.9917538213998393,0.998832082287538,0.9910135815797572,0.986,0.9990641045466452,0.9930843821145922,0.0057538213998391,-0.000232022259107,-0.0020708005348349,3,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
byte_mean_res,lofo,0.9917538213998393,0.998832082287538,0.9910135815797572,0.9892688797512786,0.9991839217093474,0.9924647287464532,0.0024849416485605,-0.0003518394218093,-0.0014511471666961,4,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
dlc_std_res,lofo,0.9917538213998393,0.998832082287538,0.9910135815797572,0.9923510466988728,0.99921192979442,0.993554434886088,-0.0005972252990336,-0.0003798475068819,-0.0025408533063306,5,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
dlc_mode_res,lofo,0.9917538213998393,0.998832082287538,0.9910135815797572,0.9923510466988728,0.99921192979442,0.993554434886088,-0.0005972252990336,-0.0003798475068819,-0.0025408533063306,6,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
byte_max_change_res,lofo,0.9917538213998393,0.998832082287538,0.9910135815797572,0.9944517300514476,0.9992197362113464,0.9942626111000128,-0.0026979086516084,-0.0003876539238084,-0.0032490295202555,7,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
window_fill_res,lofo,0.9917538213998393,0.998832082287538,0.9910135815797572,0.9911540008041816,0.999369224236724,0.9938962797973528,0.0005998205956574,-0.000537141949186,-0.0028826982175955,8,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
byte_var_res,lofo,0.9917538213998393,0.998832082287538,0.9910135815797572,0.99195494770716,0.9995061442547676,0.9958606747068032,-0.0002011263073209,-0.0006740619672295,-0.0048470931270458,9,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
byte_nunique_res,lofo,0.9917538213998393,0.998832082287538,0.9910135815797572,0.9876790543924672,0.9997003977083296,0.9972568868977496,0.0040747670073719,-0.0008683154207915,-0.0062433053179923,10,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
iat_max_res,lofo,0.9917538213998393,0.998832082287538,0.9910135815797572,0.9953572870407752,0.9998386133972323,0.9990656834783566,-0.0036034656409359,-0.0010065311096942,-0.0080521018985993,11,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
iat_median_res,lofo,0.9917538213998393,0.998832082287538,0.9910135815797572,0.9953572870407752,0.9998820507627862,0.9994031350571256,-0.0036034656409359,-0.0010499684752481,-0.0083895534773683,12,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
iat_std_res,lofo,0.9917538213998393,0.998832082287538,0.9910135815797572,0.9906560835928864,0.9999474713439176,0.9997766756291564,0.0010977378069526,-0.0011153890563795,-0.0087630940493993,13,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
iat_mean_res,lofo,0.9917538213998393,0.998832082287538,0.9910135815797572,0.9919517102615694,0.9999659130591464,0.9998650936342496,-0.0001978888617302,-0.0011338307716084,-0.0088515120544923,14,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
iat_min_res,lofo,0.9456729456729456,0.9994354201275768,0.9955142447665496,0.9454046639231825,0.9955886552810106,0.9560553332486884,0.0002682817497632,0.003846764846566,0.0394589115178609,1,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
iat_median_res,lofo,0.9456729456729456,0.9994354201275768,0.9955142447665496,0.923499689743817,0.9974532657970432,0.9704384342886446,0.0221732559291286,0.0019821543305335,0.0250758104779048,2,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
iat_std_res,lofo,0.9456729456729456,0.9994354201275768,0.9955142447665496,0.94578037853159,0.9982769652626624,0.981899882199665,-0.0001074328586443,0.0011584548649141,0.0136143625668845,3,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
iat_mean_res,lofo,0.9456729456729456,0.9994354201275768,0.9955142447665496,0.9589700842826712,0.998594841191642,0.9868329028393924,-0.0132971386097254,0.0008405789359345,0.0086813419271569,4,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
iat_max_res,lofo,0.9456729456729456,0.9994354201275768,0.9955142447665496,0.952633504023409,0.9986244996459412,0.9880172733056162,-0.0069605583504632,0.0008109204816354,0.0074969714609333,5,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
time_since_last_seen_res,lofo,0.9456729456729456,0.9994354201275768,0.9955142447665496,0.9434884984604238,0.9992332921038948,0.9940896126308127,0.0021844472125218,0.0002021280236819,0.0014246321357367,6,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
dlc_mode_res,lofo,0.9456729456729456,0.9994354201275768,0.9955142447665496,0.9474354310658422,0.9992864634734856,0.993409390481674,-0.0017624853928964,0.0001489566540912,0.0021048542848753,7,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
dlc_std_res,lofo,0.9456729456729456,0.9994354201275768,0.9955142447665496,0.9474354310658422,0.9992864634734856,0.993409390481674,-0.0017624853928964,0.0001489566540912,0.0021048542848753,8,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
window_fill_res,lofo,0.9456729456729456,0.9994354201275768,0.9955142447665496,0.9262091038406828,0.9994673727780256,0.996539611524309,0.0194638418322627,-3.19526504488632e-05,-0.0010253667577595,9,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
byte_nunique_res,lofo,0.9456729456729456,0.9994354201275768,0.9955142447665496,0.9296805282884169,0.9996032390187912,0.9979029119057404,0.0159924173845288,-0.0001678188912145,-0.0023886671391908,10,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
byte_max_change_res,lofo,0.9456729456729456,0.9994354201275768,0.9955142447665496,0.9247292739215338,0.9996636147871508,0.9986068345483718,0.0209436717514118,-0.0002281946595742,-0.0030925897818223,11,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
byte_entropy_res,lofo,0.9456729456729456,0.9994354201275768,0.9955142447665496,0.9331780723754928,0.9996662826985108,0.9983836370569866,0.012494873297453,-0.000230862570934,-0.0028693922904371,12,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
byte_mean_res,lofo,0.9456729456729456,0.9994354201275768,0.9955142447665496,0.9132988515823616,0.9997669678046526,0.9989930433414635,0.032374094090584,-0.0003315476770758,-0.003478798574914,13,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
byte_var_res,lofo,0.9456729456729456,0.9994354201275768,0.9955142447665496,0.9191812246338452,0.99981252991733,0.9991761908251732,0.0264917210391005,-0.0003771097897532,-0.0036619460586235,14,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
iat_median_res,lofo,0.4157258863141215,0.9665201242405748,0.5195795699045147,0.4315762406788377,0.9455251956631228,0.3867834356217937,-0.0158503543647162,0.0209949285774521,0.132796134282721,1,road,correlated_signal_attack_1,isolation_forest,hcrl_temporal_v1,C
iat_mean_res,lofo,0.4157258863141215,0.9665201242405748,0.5195795699045147,0.3976852291053979,0.9458744367011948,0.4097326481843222,0.0180406572087236,0.0206456875393798,0.1098469217201925,2,road,correlated_signal_attack_1,isolation_forest,hcrl_temporal_v1,C
time_since_last_seen_res,lofo,0.4157258863141215,0.9665201242405748,0.5195795699045147,0.3592399212531028,0.9532390264717095,0.4301711868882378,0.0564859650610187,0.0132810977688652,0.0894083830162768,3,road,correlated_signal_attack_1,isolation_forest,hcrl_temporal_v1,C
iat_min_res,lofo,0.4157258863141215,0.9665201242405748,0.5195795699045147,0.4108394178468172,0.95652677390542,0.4565741376610087,0.0048864684673042,0.0099933503351548,0.0630054322435059,4,road,correlated_signal_attack_1,isolation_forest,hcrl_temporal_v1,C
