feature,method,metric,baseline,importance_mean,importance_std,rank,corpus,dataset,detector,protocol_version,phase
iat_min_res,permutation,roc_auc,0.998832082287538,0.0059856646544251,0.0002043052429113,1,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
byte_mean_res,permutation,roc_auc,0.998832082287538,0.0040167956085914,0.0001486578204427,2,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
byte_max_change_res,permutation,roc_auc,0.998832082287538,0.0027176847432834,0.00011412819201,3,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
byte_var_res,permutation,roc_auc,0.998832082287538,0.0010760524890949,0.0001557566025648,4,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
byte_entropy_res,permutation,roc_auc,0.998832082287538,0.0010636270055554,6.932292398391261e-05,5,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
byte_nunique_res,permutation,roc_auc,0.998832082287538,0.0001877599831062,3.5689070692713114e-05,6,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
iat_max_res,permutation,roc_auc,0.998832082287538,7.084296367700915e-05,5.058456390366332e-05,7,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
iat_median_res,permutation,roc_auc,0.998832082287538,2.977883524679648e-05,6.540826069098446e-05,8,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
dlc_mode_res,permutation,roc_auc,0.998832082287538,0.0,0.0,9,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
dlc_std_res,permutation,roc_auc,0.998832082287538,0.0,0.0,10,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
window_fill_res,permutation,roc_auc,0.998832082287538,0.0,0.0,11,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
iat_std_res,permutation,roc_auc,0.998832082287538,-0.000237131521195,6.730535821039904e-05,12,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
iat_mean_res,permutation,roc_auc,0.998832082287538,-0.0004931323290026,4.576604494344471e-05,13,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
time_since_last_seen_res,permutation,roc_auc,0.998832082287538,-0.0006795880034439,9.096236722229e-05,14,hcrl,RPM,isolation_forest,hcrl_temporal_v1,C
iat_min_res,permutation,roc_auc,0.9994354201275768,0.0034563341857743,0.0001543719850935,1,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
iat_median_res,permutation,roc_auc,0.9994354201275768,0.0018671102555478,0.000140953339807,2,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
iat_max_res,permutation,roc_auc,0.9994354201275768,0.0010664503326206,9.876429882371042e-05,3,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
iat_std_res,permutation,roc_auc,0.9994354201275768,0.0007658192843838,3.02309285534117e-05,4,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
iat_mean_res,permutation,roc_auc,0.9994354201275768,0.0002377763023178,1.896837125959194e-05,5,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
time_since_last_seen_res,permutation,roc_auc,0.9994354201275768,0.00023672989973,3.259740200019283e-05,6,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
byte_entropy_res,permutation,roc_auc,0.9994354201275768,0.0002154634280894,5.427805042750227e-05,7,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
byte_mean_res,permutation,roc_auc,0.9994354201275768,6.197028658891935e-05,3.669381662164981e-05,8,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
dlc_mode_res,permutation,roc_auc,0.9994354201275768,0.0,0.0,9,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
dlc_std_res,permutation,roc_auc,0.9994354201275768,0.0,0.0,10,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
window_fill_res,permutation,roc_auc,0.9994354201275768,0.0,0.0,11,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
byte_nunique_res,permutation,roc_auc,0.9994354201275768,-1.212705856210583e-05,2.778133552819224e-05,12,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
byte_max_change_res,permutation,roc_auc,0.9994354201275768,-0.0001720605588472,1.9964894549821808e-05,13,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
byte_var_res,permutation,roc_auc,0.9994354201275768,-0.0002982413470887,8.423367905814909e-06,14,hcrl,gear,isolation_forest,hcrl_temporal_v1,C
iat_median_res,permutation,roc_auc,0.9665201242405748,0.0446807366070896,0.0005624379169776,1,road,correlated_signal_attack_1,isolation_forest,hcrl_temporal_v1,C
byte_max_change_res,permutation,roc_auc,0.9665201242405748,0.0342256785964647,0.0005045628300334,2,road,correlated_signal_attack_1,isolation_forest,hcrl_temporal_v1,C
iat_mean_res,permutation,roc_auc,0.9665201242405748,0.0281330908254424,0.0001882526024325,3,road,correlated_signal_attack_1,isolation_forest,hcrl_temporal_v1,C
iat_std_res,permutation,roc_auc,0.9665201242405748,0.0137901804460731,0.0002275441952251,4,road,correlated_signal_attack_1,isolation_forest,hcrl_temporal_v1,C
byte_entropy_res,permutation,roc_auc,0.9665201242405748,0.0101675168058472,0.0002014234121955,5,road,correlated_signal_attack_1,isolation_forest,hcrl_temporal_v1,C
time_since_last_seen_res,permutation,roc_auc,0.9665201242405748,0.0099528805426192,0.0002712882977325,6,road,correlated_signal_attack_1,isolation_forest,hcrl_temporal_v1,C
