detected,delay_frames,delay_ms,attack_start_idx,detect_idx,n_attack_windows,missed,corpus,dataset,detector,representation,median_delay_ms,worst_delay_ms,n_segments,n_detected_segments,capture,protocol_version,phase
True,0.0,0.0,2217.0,2217.0,5834.0,False,hcrl,DoS,isolation_forest,residual,,,,,,hcrl_temporal_v1,C
True,0.0,0.0,,,,,hcrl,DoS,isolation_forest,residual,0.0,0.0,3978.0,42.0,,hcrl_temporal_v1,C
True,0.0,0.0,2217.0,2217.0,5834.0,False,hcrl,DoS,one_class_svm,residual,,,,,,hcrl_temporal_v1,C
True,0.0,0.0,,,,,hcrl,DoS,one_class_svm,residual,0.0,0.0,3978.0,42.0,,hcrl_temporal_v1,C
False,,,2217.0,-1.0,5834.0,True,hcrl,DoS,lof,residual,,,,,,hcrl_temporal_v1,C
False,,,,,,,hcrl,DoS,lof,residual,,,3978.0,0.0,,hcrl_temporal_v1,C
True,0.0,0.0,2217.0,2217.0,5834.0,False,hcrl,DoS,hbos,residual,,,,,,hcrl_temporal_v1,C
True,0.005813953488372,0.0021890845409659,,,,,hcrl,DoS,hbos,residual,0.0,1.0089874267578125,3978.0,688.0,,hcrl_temporal_v1,C
True,0.0,0.0,2217.0,2217.0,5834.0,False,hcrl,DoS,elliptic_envelope,residual,,,,,,hcrl_temporal_v1,C
True,0.0,0.0,,,,,hcrl,DoS,elliptic_envelope,residual,0.0,0.0,3978.0,42.0,,hcrl_temporal_v1,C
True,0.0,0.0,2217.0,2217.0,5834.0,False,hcrl,DoS,autoencoder,residual,,,,,,hcrl_temporal_v1,C
True,0.0,0.0,,,,,hcrl,DoS,autoencoder,residual,0.0,0.0,3978.0,42.0,,hcrl_temporal_v1,C
True,0.0,0.0,41.0,41.0,1296.0,False,hcrl,Fuzzy,isolation_forest,residual,,,,,,hcrl_temporal_v1,C
True,0.0078973346495557,0.0034503616679456,,,,,hcrl,Fuzzy,isolation_forest,residual,0.0,0.6921291351318359,1029.0,1013.0,,hcrl_temporal_v1,C
True,0.0,0.0,41.0,41.0,1296.0,False,hcrl,Fuzzy,one_class_svm,residual,,,,,,hcrl_temporal_v1,C
True,0.1274271844660194,0.1476658779440574,,,,,hcrl,Fuzzy,one_class_svm,residual,0.0,15.10000228881836,1029.0,824.0,,hcrl_temporal_v1,C
True,3265.0,1672.9028224945068,41.0,3306.0,1296.0,False,hcrl,Fuzzy,lof,residual,,,,,,hcrl_temporal_v1,C
True,0.0711382113821138,0.1850428620005041,,,,,hcrl,Fuzzy,lof,residual,0.0,15.10000228881836,1029.0,492.0,,hcrl_temporal_v1,C
True,0.0,0.0,41.0,41.0,1296.0,False,hcrl,Fuzzy,hbos,residual,,,,,,hcrl_temporal_v1,C
True,0.0833333333333333,0.0858541690942013,,,,,hcrl,Fuzzy,hbos,residual,0.0,5.445003509521484,1029.0,924.0,,hcrl_temporal_v1,C
True,0.0,0.0,41.0,41.0,1296.0,False,hcrl,Fuzzy,elliptic_envelope,residual,,,,,,hcrl_temporal_v1,C
True,0.0171428571428571,0.0251808166503906,,,,,hcrl,Fuzzy,elliptic_envelope,residual,0.0,9.115934371948242,1029.0,875.0,,hcrl_temporal_v1,C
True,0.0,0.0,41.0,41.0,1296.0,False,hcrl,Fuzzy,autoencoder,residual,,,,,,hcrl_temporal_v1,C
