corpus,dataset,capture,attack_type,representation,detector,seed,precision,recall,f1,roc_auc,pr_auc,fpr,train_seconds,score_seconds,runtime_seconds,peak_rss_mb,model_bytes,protocol_version,phase
hcrl,DoS,DoS,DoS,raw,isolation_forest,0,0.0,0.0,0.0,0.8259218833464455,0.4586982600743833,0.0010639489304513,0.5899506999994628,0.3041582000005292,0.894108899999992,526.37109375,2365487,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,raw,isolation_forest,1,0.0,0.0,0.0,0.8434683637070919,0.4767994178484775,0.0011759435547093,0.5895488000005571,0.2963861999996879,0.885935000000245,529.24609375,2385551,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,raw,isolation_forest,2,0.0,0.0,0.0,0.8600654045534165,0.5201469331089202,0.0008959569940642,0.6432903000004444,0.3384645000005548,0.9817548000009992,529.37109375,2440463,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,raw,isolation_forest,3,0.0,0.0,0.0,0.8627129620781288,0.5108207148940187,0.0010639489304513,0.5959236000016972,0.3134286000004067,0.909352200002104,529.40625,2341199,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,raw,isolation_forest,4,0.0,0.0,0.0,0.8777841865510236,0.5440237900952305,0.0008959569940642,0.7507715000010649,0.349671700001636,1.100443200002701,529.43359375,2427439,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,raw,one_class_svm,0,0.3118279569892473,0.0099417209461775,0.0192691029900332,0.9860065270175224,0.8717697335159855,0.0071676559525142,0.1076582000005146,0.7670794999994541,0.8747376999999688,530.0625,31066,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,raw,one_class_svm,1,0.2885572139303483,0.0099417209461775,0.0192212096106048,0.9850646318788148,0.8661320359020603,0.0080076156344495,0.0993268999991414,0.764623400000346,0.8639502999994875,525.25,30282,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,raw,one_class_svm,2,0.2710280373831775,0.0099417209461775,0.0191798941798941,0.9842103897148008,0.8606018870487846,0.0087355806921267,0.1067005000004428,0.8514519999989716,0.9581524999994144,524.9921875,31066,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,raw,one_class_svm,3,0.3152173913043478,0.0099417209461775,0.0192755068128946,0.9852120255581176,0.8672290314287089,0.0070556613282562,0.1246334000006754,0.8098282999999356,0.934461700000611,525.375,30810,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,raw,one_class_svm,4,0.2348178137651821,0.0099417209461775,0.0190758098996875,0.985435045363966,0.8686852360851176,0.0105834919923843,0.1925097999992431,0.9288966999993136,1.121406499998557,525.3984375,30666,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,raw,lof,0,0.0,0.0,0.0,0.9628802706054272,0.7442528334939085,0.0041438010975473,0.1079079999999521,0.3781212999983836,0.4860292999983358,531.1015625,2514956,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,raw,lof,1,0.0,0.0,0.0,0.9536082521724252,0.7064314060677543,0.0037518199126441,0.1242966000008891,0.3972732000001997,0.5215698000010889,533.6328125,2514956,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,raw,lof,2,0.0,0.0,0.0,0.956563756520078,0.7173810259231692,0.0038078172247732,0.137784599999577,0.3659697000002779,0.503754299999855,532.9140625,2514956,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,raw,lof,3,0.0,0.0,0.0,0.949861212284025,0.6922190084170141,0.0045357822824504,0.1030924999995477,0.3649786000005406,0.4680711000000883,532.98828125,2514956,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,raw,lof,4,0.0,0.0,0.0,0.9446881990185554,0.6767998699745181,0.0029678575428379,0.1357070000012754,0.379885500000455,0.5155925000017305,530.984375,2514956,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,raw,hbos,0,0.2188679245283019,0.0099417209461775,0.0190195113953107,0.2506228717134021,0.3004832883295875,0.0115914436107066,0.010427700000946,0.014497799998935,0.0249254999998811,528.12890625,3855,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,raw,hbos,1,0.2188679245283019,0.0099417209461775,0.0190195113953107,0.2506228717134021,0.3004832883295875,0.0115914436107066,0.0099119000005885,0.010132400000657,0.0200443000012455,528.28515625,3855,hcrl_temporal_v1,C
hcrl,DoS,DoS,DoS,raw,hbos,2,0.2188679245283019,0.0099417209461775,0.0190195113953107,0.2506228717134021,0.3004832883295875,0.0115914436107066,0.0066757999993569,0.0107367000000522,0.0174124999994091,528.32421875,3855,hcrl_temporal_v1,C
