dataset,detector,delta_f1,delta_roc_auc,delta_pr_auc,delta_precision,delta_recall,raw_f1,residual_f1,raw_roc_auc,residual_roc_auc
DoS,autoencoder,-0.0023055022472404547,-0.24779624564993796,-0.21987149200728962,-0.19750850305290332,0.0,0.01912928759894459,0.016823785351704135,0.8687092145391213,0.6209129688891833
DoS,elliptic_envelope,0.013310384394721745,0.01940329901531901,0.013753829419257901,0.020131898646303367,0.00994172094617758,0.0,0.013310384394721745,0.6581986169566156,0.6776019159719346
DoS,hbos,0.15896071302419826,0.5053738510712611,0.21148987792900686,0.03405282065641552,0.1273568735001714,0.01901951139531071,0.17798022441950898,0.25062287171340214,0.7559967227846632
DoS,isolation_forest,0.016875181844631947,0.06774595902701441,0.17179078478647086,0.05576923076923077,0.00994172094617758,0.0,0.016875181844631947,0.8259218833464455,0.8936678423734599
DoS,lof,0.0,-0.11313442007920405,-0.2753333169565507,0.0,0.0,0.0,0.0,0.9628802706054271,0.8497458505262231
DoS,one_class_svm,-0.002695306733425138,-0.19512009052636425,-0.47627756184952347,-0.26204254926392545,0.0,0.019269102990033225,0.016573796256608087,0.9860065270175224,0.7908864364911582
Fuzzy,autoencoder,0.3279509624150785,0.1246040746659336,0.40200383604409634,0.1023791606880565,0.9128086419753086,0.04249839021249195,0.37044935262757045,0.8129594865842009,0.9375635612501345
Fuzzy,elliptic_envelope,0.13776645041705288,0.09571755480586686,0.47057972893382427,0.05434149463694901,0.47608024691358025,0.25,0.3877664504170529,0.8388982440866558,0.9346157988925227
Fuzzy,hbos,0.21610709198544806,0.13372913138579767,0.3038699563710551,-0.004676775277826173,0.665895061728395,0.20938271604938272,0.4254898080348308,0.7781902894956403,0.911919420881438
Fuzzy,isolation_forest,0.3100175537966897,0.10590915180176663,0.4683018929095168,-0.03402611870557515,0.8711419753086419,0.16283185840707964,0.47284941220376936,0.8668615745752454,0.972770726377012
Fuzzy,lof,0.3644261425217064,0.17391167468222557,0.3800249370809541,0.3068700257323671,0.34104938271604934,0.13939751919669224,0.5038236617183987,0.6646396872627391,0.8385513619449647
Fuzzy,one_class_svm,0.11058220230469346,0.19146394684974855,0.3916121561214806,-0.01132511197256969,0.30478395061728397,0.41310427487015583,0.5236864771748493,0.6100992223730509,0.8015631692227995
RPM,autoencoder,-0.07443699134905069,0.005940359363382441,0.08352496886991845,-0.13832658453116664,0.008107012565869431,0.9705503222607833,0.8961133309117326,0.9940596406366176,1.0
RPM,elliptic_envelope,0.973559589581689,0.15321258242383173,0.5858983765764766,0.948481353325644,1.0,0.0,0.973559589581689,0.8467874175761683,1.0
RPM,hbos,0.9766429136975456,0.3842288826758593,0.6241570679299164,0.9543520309477757,1.0,0.0,0.9766429136975456,0.6157699836121391,0.9999988662879984
RPM,isolation_forest,0.9917538213998391,0.14411101290645822,0.5600756598564965,0.9842315369261477,0.9993919740575598,0.0,0.9917538213998391,0.8547210693810798,0.9988320822875381
RPM,lof,0.9039203114791332,0.26267527268526947,0.6956370880699072,0.8233631499191021,0.999189298743413,0.0013177400757700543,0.9052380515549032,0.7371769344587271,0.9998522071439966
RPM,one_class_svm,0.8928700687658343,0.024395603555554146,0.2229425534547741,0.8064727034978751,1.0,0.0,0.8928700687658343,0.9754712122773797,0.9998668158329338
gear,autoencoder,0.959465955551739,0.015602402395007986,0.1457301355999605,0.889318933283891,0.9990401228642733,0.0018702075930428276,0.9613361631447818,0.9843959470294815,0.9999983494244895
gear,elliptic_envelope,0.8543546006232574,0.36346710839527674,0.7222600101186527,0.7457408732999284,1.0,0.0,0.8543546006232574,0.6349645645833187,0.9984316729785955
gear,hbos,0.9177114603567014,0.4192988475650641,0.7212439630534822,0.8495994768677456,0.997696294874256,0.0,0.9177114603567014,0.5783916962473502,0.9976905438124143
gear,isolation_forest,0.9456729456729457,0.2904117227734482,0.702489839386294,0.898961937716263,0.9975043194471108,0.0,0.9456729456729457,0.7090236973541285,0.9994354201275767
gear,lof,0.6242914284501209,0.0401280859053339,0.1283549759166246,0.02039157676119907,0.7711652908427722,0.3646546359676416,0.9889460644177624,0.9598111127062061,0.99993919861154
gear,one_class_svm,0.9548162404912474,0.06166236601777708,0.3262295758037931,0.9135391090845317,1.0,0.0,0.9548162404912474,0.9377968888354107,0.9994592548531878
