experiment,dataset,representation,detector,seed,precision,recall,f1,roc_auc,pr_auc,fpr,threshold,n_train_normals,train_seconds,score_seconds,runtime_seconds,peak_rss_mb,model_bytes,tp,fp,fn,tn,precision_point,precision_ci_low,precision_ci_high,precision_mean,precision_std,recall_point,recall_ci_low,recall_ci_high,recall_mean,recall_std,f1_point,f1_ci_low,f1_ci_high,f1_mean,f1_std,roc_auc_point,roc_auc_ci_low,roc_auc_ci_high,roc_auc_mean,roc_auc_std,pr_auc_point,pr_auc_ci_low,pr_auc_ci_high,pr_auc_mean,pr_auc_std,fpr_point,fpr_ci_low,fpr_ci_high,fpr_mean,fpr_std,protocol_version,phase
representation,DoS,raw,isolation_forest,0,0.0,0.0,0.0,0.8259218833464455,0.4586982600743833,0.0010639489304513,0.6989098042905796,8064,0.2415969999997287,0.150937100000192,0.3925340999999207,311.9140625,2365487,0,19,5834,17839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8259218833464455,0.8057973251639529,0.843388786485391,0.8262389561684603,0.0091970924374331,0.4586982600743833,0.4410019585564958,0.4797012859950947,0.46030783168811,0.0100259851117671,0.0010639489304513,0.0004946159852868,0.0017344669817056,0.0010634166261201,0.0003197039579885,hcrl_temporal_v1,A
representation,DoS,raw,one_class_svm,0,0.3118279569892473,0.0099417209461775,0.0192691029900332,0.9860065270175224,0.8717697335159855,0.0071676559525142,7.37951218793728,8064,0.0564506000000619,0.2864853999999468,0.3429360000000088,314.93359375,31066,58,128,5776,17730,0.3118279569892473,0.0,0.539063303755144,0.2978899583612951,0.1285165551776025,0.0099417209461775,0.0,0.0241243072995312,0.0102930710209549,0.005973223970647,0.0192691029900332,0.0,0.0460531722135779,0.019877794759702,0.0114152383676508,0.9860065270175224,0.9840944482614278,0.9875840684575372,0.9859561370860654,0.0008495024562009,0.8717697335159855,0.8545553878420005,0.8887531352708878,0.8714844807182937,0.0090755553697326,0.0071676559525142,0.005901545879002,0.0084699891758223,0.0071775298440279,0.0006946755153936,hcrl_temporal_v1,A
representation,DoS,raw,lof,0,0.0,0.0,0.0,0.9628802706054272,0.7442528334939085,0.0041438010975473,12894.45507630766,8064,0.0508878999999069,0.128694699999869,0.179582599999776,317.90625,2514956,0,74,5834,17784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9628802706054272,0.9593786531913496,0.9656885661870266,0.962764943124132,0.0016873275365613,0.7442528334939085,0.7217262980712477,0.7654663313653696,0.7439009945147416,0.0111808265850937,0.0041438010975473,0.0029691342514391,0.0055742336791102,0.0042194047234833,0.0007005685924525,hcrl_temporal_v1,A
representation,DoS,raw,hbos,0,0.2188679245283019,0.0099417209461775,0.0190195113953107,0.2506228717134021,0.3004832883295875,0.0115914436107066,25.882168875638648,8064,0.0025768000000425,0.0052028000000063,0.0077796000000489,316.94140625,3855,58,207,5776,17651,0.2188679245283019,0.0,0.3966687952320135,0.2118255221174169,0.0979290158707509,0.0099417209461775,0.0,0.0241243072995312,0.0102930710209549,0.005973223970647,0.0190195113953107,0.0,0.045386740231255,0.0196130394151476,0.0112524162072833,0.2506228717134021,0.23965010122049,0.2645835142233372,0.2511406778559426,0.0064914946120905,0.3004832883295875,0.2778477663630698,0.3252501850515801,0.3012132007753959,0.01256247825712,0.0115914436107066,0.01027295284647,0.0132302635205909,0.0116563284770714,0.0007335640489208,hcrl_temporal_v1,A
representation,DoS,raw,elliptic_envelope,0,0.0,0.0,0.0,0.6581986169566156,0.2963609133928253,0.0073356478889013,2762691.084633968,8064,0.2798944999999548,0.0039080999999896,0.2838025999999445,320.875,66831,0,131,5834,17727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6581986169566156,0.6270921103722703,0.6884500402521254,0.658893887430157,0.0157764525463822,0.2963609133928253,0.2808101280824201,0.3135665946265177,0.2972792586657979,0.0081802323413633,0.0073356478889013,0.0062617407983646,0.0085341037509335,0.0073633476524855,0.0006022067564634,hcrl_temporal_v1,A
representation,DoS,raw,autoencoder,0,0.2521739130434782,0.0099417209461775,0.0191292875989445,0.8687092145391213,0.4973170238263963,0.009631537686191,3.290973667120664,8064,0.542551199999707,0.0070613999996567,0.5496125999993637,329.546875,18610,58,172,5776,17686,0.2521739130434782,0.0,0.4437234247616023,0.242934612393945,0.1079519675490582,0.0099417209461775,0.0,0.0241243072995312,0.0102930710209549,0.005973223970647,0.0191292875989445,0.0,0.0457706698408539,0.0197280661906174,0.0113143166911518,0.8687092145391213,0.8581662033911303,0.8767230116584516,0.8685661657500409,0.004800278247757,0.4973170238263963,0.4761991090204912,0.5189025705269307,0.4976268544889238,0.0114078085110962,0.009631537686191,0.0085638294687513,0.0106866203277364,0.0096267120205878,0.000559277435586,hcrl_temporal_v1,A
representation,DoS,residual,isolation_forest,0,0.0557692307692307,0.0099417209461775,0.0168751818446319,0.8936678423734599,0.6304890448608542,0.0549893605106954,0.5009767672276519,8064,0.2725015000000894,0.1593211999997947,0.4318226999998842,334.25390625,1757055,58,982,5776,16876,0.0557692307692307,0.0,0.1246437089596497,0.0565409488929457,0.030676051808558,0.0099417209461775,0.0,0.0241243072995312,0.0102930710209549,0.005973223970647,0.0168751818446319,0.0,0.0398449387573066,0.0174042775637678,0.0099853489451967,0.8936678423734599,0.8824891147793712,0.9030654381041536,0.89371884612599,0.0052432915397872,0.6304890448608542,0.6068606603635961,0.6568165593747386,0.631428713835826,0.0130653461193174,0.0549893605106954,0.0499177347528557,0.0614816316146302,0.0550666184843171,0.0030701376148709,hcrl_temporal_v1,A
representation,DoS,residual,one_class_svm,0,0.0497854077253218,0.0099417209461775,0.016573796256608,0.7908864364911582,0.395492171666462,0.0619890245268227,0.0211228923721189,8064,0.0400167999996483,0.3407346999997571,0.3807514999994055,331.58984375,32122,58,1107,5776,16751,0.0497854077253218,0.0,0.1095407310081223,0.0508411936292952,0.0278628270040091,0.0099417209461775,0.0,0.0241243072995312,0.0102930710209549,0.005973223970647,0.016573796256608,0.0,0.0395285326537893,0.0171049370894738,0.0098124107906676,0.7908864364911582,0.7819981076772025,0.7987816166271008,0.7912157767999498,0.0043121461862481,0.395492171666462,0.3710236027377143,0.4237630290497733,0.3961011096517595,0.0141501553295507,0.0619890245268227,0.0559778800340057,0.0682118441212656,0.0617674294052126,0.0030991862647095,hcrl_temporal_v1,A
representation,DoS,residual,lof,0,0.0,0.0,0.0,0.8497458505262231,0.4689195165373577,0.0178071452570276,28.953906337907537,8064,0.2900641000001087,1.189007500000116,1.4790716000002249,336.10546875,2514956,0,318,5834,17540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8497458505262231,0.8409577487805412,0.8591704690392108,0.8502233880186151,0.004414786266009,0.4689195165373577,0.440323391385886,0.4989725361738587,0.4697816972026006,0.0152914177568827,0.0178071452570276,0.0150022704657354,0.0201087625247024,0.0175836507262839,0.0013524908083635,hcrl_temporal_v1,A
representation,DoS,residual,hbos,0,0.2529207451847174,0.1372985944463489,0.1779802244195089,0.7559967227846632,0.5119731662585943,0.1324896404972561,13.45311044436789,8064,0.00259350000033,0.0060364999999364,0.0086300000002665,335.12109375,3711,801,2366,5033,15492,0.2529207451847174,0.1926480782556119,0.3263500994698617,0.2543571452281431,0.034661133754042,0.1372985944463489,0.0995642249186105,0.1831760581329795,0.138181797798631,0.021834491148579,0.1779802244195089,0.1320755842053608,0.2344105391950975,0.1789940562565088,0.0267047485633612,0.7559967227846632,0.7229850165799392,0.7860073067846283,0.7567480351538345,0.0162535241094169,0.5119731662585943,0.4930368386173823,0.5355440982911801,0.5136517530402128,0.0111574265366901,0.1324896404972561,0.1154136355357643,0.1524181114022396,0.1321082580586536,0.0093720201428927,hcrl_temporal_v1,A
