attack_type,detector,representation,n_captures,f1_mean,f1_std,f1_fmt,recall_mean,recall_std,recall_fmt,precision_mean,precision_std,precision_fmt,roc_auc_mean,roc_auc_std,roc_auc_fmt,pr_auc_mean,pr_auc_std,pr_auc_fmt,fpr_mean,fpr_std,fpr_fmt,protocol_version,phase,source_table
correlated_signal_attack,autoencoder,residual,1,0.4905977679253936,,0.491 (n=1; std n/a),0.999377141077546,,0.999 (n=1; std n/a),0.3250937088440887,,0.325 (n=1; std n/a),0.9414995018519928,,0.941 (n=1; std n/a),0.3914769002776515,,0.391 (n=1; std n/a),0.1837184931884617,,0.184 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
correlated_signal_attack,elliptic_envelope,residual,1,0.501211221380011,,0.501 (n=1; std n/a),0.998754282155092,,0.999 (n=1; std n/a),0.3345503859795535,,0.335 (n=1; std n/a),0.941373648690975,,0.941 (n=1; std n/a),0.3912366258027197,,0.391 (n=1; std n/a),0.175914180133473,,0.176 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
correlated_signal_attack,hbos,residual,1,0.4618488363714965,,0.462 (n=1; std n/a),0.9981314232326378,,0.998 (n=1; std n/a),0.3004311961004874,,0.300 (n=1; std n/a),0.932855698229026,,0.933 (n=1; std n/a),0.3948211895595265,,0.395 (n=1; std n/a),0.2058077326126523,,0.206 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
correlated_signal_attack,isolation_forest,residual,1,0.5332223147377185,,0.533 (n=1; std n/a),0.9971971348489568,,0.997 (n=1; std n/a),0.3639049892033185,,0.364 (n=1; std n/a),0.9587219839088996,,0.959 (n=1; std n/a),0.4884714862522645,,0.488 (n=1; std n/a),0.154348905190006,,0.154 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
correlated_signal_attack,lof,residual,1,0.3726412355571039,,0.373 (n=1; std n/a),0.999377141077546,,0.999 (n=1; std n/a),0.2290179845846417,,0.229 (n=1; std n/a),0.9413699728923594,,0.941 (n=1; std n/a),0.3912740979661452,,0.391 (n=1; std n/a),0.2979151729082786,,0.298 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
correlated_signal_attack,one_class_svm,residual,1,0.3390528483184625,,0.339 (n=1; std n/a),1.0,,1.000 (n=1; std n/a),0.2041322314049586,,0.204 (n=1; std n/a),0.9451452370727788,,0.945 (n=1; std n/a),0.4472501846119466,,0.447 (n=1; std n/a),0.3452374386410016,,0.345 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
fuzzing_attack,autoencoder,residual,1,0.2458305387882852,,0.246 (n=1; std n/a),0.2757548400040124,,0.276 (n=1; std n/a),0.2217650855114553,,0.222 (n=1; std n/a),0.4586509393991921,,0.459 (n=1; std n/a),0.26700320955197,,0.267 (n=1; std n/a),0.3557940547318728,,0.356 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
fuzzing_attack,elliptic_envelope,residual,1,0.2485860728172498,,0.249 (n=1; std n/a),0.2821747416992677,,0.282 (n=1; std n/a),0.2221432519939982,,0.222 (n=1; std n/a),0.4858131906187339,,0.486 (n=1; std n/a),0.2771074165355248,,0.277 (n=1; std n/a),0.3632809618647193,,0.363 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
fuzzing_attack,hbos,residual,1,0.2028367999102988,,0.203 (n=1; std n/a),0.1814625338549503,,0.181 (n=1; std n/a),0.2299186578546009,,0.230 (n=1; std n/a),0.4874200583881287,,0.487 (n=1; std n/a),0.2848192963507998,,0.285 (n=1; std n/a),0.2234638931917091,,0.223 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
fuzzing_attack,isolation_forest,residual,1,0.205558840922531,,0.206 (n=1; std n/a),0.1743404554117765,,0.174 (n=1; std n/a),0.2503961965134706,,0.250 (n=1; std n/a),0.5020197394692596,,0.502 (n=1; std n/a),0.2896731541448164,,0.290 (n=1; std n/a),0.1918934867596075,,0.192 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
fuzzing_attack,lof,residual,1,0.2496640913671481,,0.250 (n=1; std n/a),0.2982244959374059,,0.298 (n=1; std n/a),0.2147035458944175,,0.215 (n=1; std n/a),0.4579366612585168,,0.458 (n=1; std n/a),0.2696589182020218,,0.270 (n=1; std n/a),0.40104742937228,,0.401 (n=1; std n/a),pre_injection_v1,workshop,road_representation_results.csv
